"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A_23_P27332",3.88122254807697,13.8329783894231,28.5006688077509,2.11839338231947e-51,4.71189430706672e-47,106.193731189205
"A_23_P329798",-4.88932421730768,6.89835240865385,-28.4205179250503,2.75686411787539e-51,4.71189430706672e-47,105.93783310172
"A_33_P3306948",2.80570871730773,10.1499425836538,27.6325304460458,3.78967983317588e-50,4.3180875245817e-46,103.389647869548
"A_24_P12401",4.24771278846158,13.2565976153846,25.8927605986289,1.51723975185531e-47,1.29659516094175e-43,97.5477648585425
"A_23_P411157",4.39533197884617,5.29248139134615,24.8632618567432,6.05461147840087e-46,4.13929568332354e-42,93.94396024416
"A_33_P3382588",3.21174527500001,3.03357878942308,23.6111787424335,6.2223759292058e-44,3.54499127313403e-40,89.4057245045486
"A_23_P64617",-3.47778474999997,12.0945212307692,-23.1988596644426,2.96883669429411e-43,1.44976778172936e-39,87.8726542025506
"A_23_P206359",3.69547693269235,14.0253776971154,22.9964405237996,6.43779143125809e-43,2.7281872680688e-39,87.1128656493669
"A_24_P666105",-3.37549856538461,3.32358073269231,-22.9678918649676,7.18301068151398e-43,2.7281872680688e-39,87.0053247171596
"A_23_P423237",-4.55080894807692,4.68007496634615,-22.0249911509872,2.81806165066157e-41,9.63298014045645e-38,83.3996361345294
"A_23_P134454",-3.60711906346151,11.9058536509615,-21.742096804261,8.64446756698178e-41,2.68630758947398e-37,82.2971656999003
"A_23_P130194",2.85984449807696,10.4930842509615,20.8269453045202,3.46337073119617e-39,9.86570014203988e-36,78.6638746514123
"A_24_P291588",2.65289128269233,7.62126302980769,20.6630140658907,6.77933817435997e-39,1.78260089857036e-35,78.0021141875284
"A_32_P12580",1.86782890961541,7.16473940865385,20.6068890424597,8.53839334786152e-39,2.08477071292822e-35,77.7747767643292
"A_24_P911607",3.31245945769233,5.55335646153846,20.5246186344394,1.19821972790352e-38,2.73058299726174e-35,77.4408234734316
"A_23_P59138",3.75995244230773,12.2434704711538,20.5042581516636,1.30319998688489e-38,2.78420532198039e-35,77.3580449381499
"A_23_P69497",-3.91541817307689,12.7387808461538,-20.3031910659729,2.99492564664047e-38,6.02209078700654e-35,76.5377799823562
"A_23_P214144",5.57869881538465,8.476352375,20.1768750063936,5.0641547328984e-38,9.61711117970367e-35,76.019860788258
"A_24_P13041",-4.91000313653844,10.1446645086538,-19.8297062158447,2.16697792431128e-37,3.89862138877539e-34,74.5859941505693
"A_23_P46819",-2.65096472115383,6.5589547375,-19.6307452458687,5.01863651053722e-37,8.57760259198469e-34,73.7573362020914
"A_33_P3248903",2.8087897769231,6.62346478461538,19.4535059679989,1.06485803227535e-36,1.73333533891753e-33,73.0148835062305
"A_33_P3363425",-3.11503733653844,7.89373474519231,-19.2759897234224,2.27096013679509e-36,3.52855592527575e-33,72.2672296316035
"A_23_P91334",-3.26175447307691,8.39900670576923,-19.1767471839516,3.47407390444068e-36,5.11085174973835e-33,71.8474779305065
"A_24_P10137",-2.5767036730769,11.7252444038462,-19.169203896883,3.58834631231081e-36,5.11085174973835e-33,71.8155212868674
"A_23_P131089",-3.04652242884614,7.73426714134615,-19.0983258874737,4.86531918575613e-36,6.65244822906807e-33,71.5148927540193
"A_23_P48988",-2.42371246730768,6.50880045096154,-19.0734181585223,5.41551146034541e-36,6.94731806120284e-33,71.4090928680763
"A_33_P3283601",-2.58825736923074,10.4111560461538,-19.0703512975864,5.48745246621059e-36,6.94731806120284e-33,71.3960603073277
"A_24_P56388",3.5147404615385,11.4322879903846,19.0279148526318,6.58760799994598e-36,8.04229300936263e-33,71.2156028302883
"A_23_P251342",2.25876257115387,8.71432816634615,18.7972948691621,1.78528568988098e-35,2.10435933576557e-32,70.2308386168985
"A_33_P3616021",-3.28513934807692,3.45746134711538,-18.7553495861002,2.14175808083236e-35,2.44039054923642e-32,70.0509889359056
"A_24_P53778",-6.30449380961537,7.14679986057692,-18.5127479020055,6.16508736120019e-35,6.79810262154536e-32,69.006301997969
"A_33_P3400171",2.56864684807694,4.1492589875,18.4659295450915,7.56698615486753e-35,8.08319649161989e-32,68.8038135683025
"A_23_P374695",-3.50306424230767,10.5665992730769,-18.3679252107008,1.16300333409415e-34,1.20469524149516e-31,68.3790239230854
"A_33_P3219527",-3.83189849615384,5.03400104807692,-18.3366343216486,1.33440706780275e-34,1.34158931760887e-31,68.2431336054492
"A_24_P943301",-3.19562139038461,4.67763659711538,-18.2611762785654,1.85991923020571e-34,1.81650340131777e-31,67.9149095477817
"A_33_P3309471",-5.09443953846153,4.91720109423077,-18.1957463307446,2.48192586975241e-34,2.35665755571519e-31,67.6297050471698
"A_33_P3214948",-3.11491775961535,12.8056391105769,-18.1777790927516,2.68680578519714e-34,2.4822454636593e-31,67.5512895387179
"A_23_P93360",-5.2513610730769,11.5739801653846,-18.1321632614084,3.28679378535257e-34,2.95664399907123e-31,67.3520166479189
"A_23_P4096",-5.61990226153845,6.78140178846154,-18.1154463440102,3.53900088698634e-34,3.10188890563728e-31,67.2789208554834
"A_32_P213881",-2.66091129999999,3.80007446730769,-18.0804307103709,4.13223597023406e-34,3.53130555426277e-31,67.1256947150252
"A_23_P333683",-3.53404899999999,7.44178138461538,-18.0636821506678,4.45042831015834e-34,3.71046319332055e-31,67.0523476049999
"A_23_P23783",-5.50923016153845,6.12523026923077,-17.9210217527667,8.38382886665485e-34,6.73300843273963e-31,66.4261113624655
"A_23_P330561",-4.55682792884613,9.91609949711538,-17.9187312812158,8.46968851791253e-34,6.73300843273963e-31,66.4160352368734
"A_33_P3252785",-2.36497520961536,8.2158649625,-17.8653635649159,1.07411812516547e-33,8.34467724375709e-31,66.181069030855
"A_23_P119353",-2.53758677884613,9.5609269375,-17.7537237487196,1.76771122035611e-33,1.34279272545407e-30,65.6883425354629
"A_23_P311895",-4.24842932499998,9.25716915480769,-17.6952252564045,2.2964468247704e-33,1.70650960458971e-30,65.4295082677685
"A_33_P3376806",-3.32151010576922,4.23697321826923,-17.664125007153,2.63968245977521e-33,1.91983543664885e-30,65.2917194346271
"A_33_P3396010",-4.2119460326923,5.44446257788462,-17.6544605165357,2.75652306346061e-33,1.96304641413071e-30,65.2488754769753
"A_33_P3812669",-1.44184905769228,12.001442,-17.6014496656006,3.49645498182115e-33,2.43916980905291e-30,65.0136547899653
"A_24_P144601",2.69868339423079,6.26562607019231,17.5811099631733,3.83081569931595e-33,2.61897546099434e-30,64.9233058392882
"A_23_P210210",-2.33551219230765,15.0800848653846,-17.5685573763321,4.05303859019444e-33,2.71656898291405e-30,64.8675203383013
"A_33_P3254136",-4.10125761153846,4.08039025384615,-17.5283182781079,4.85672821861306e-33,3.19264501340097e-30,64.6885535326822
"A_23_P84860",-4.40525907307691,7.65080100192308,-17.4720380480575,6.25713327421992e-33,4.03561484363509e-30,64.4378883977991
"A_24_P403150",-4.0924575076923,5.70456250576923,-17.4561581294414,6.72130016312273e-33,4.2301216676232e-30,64.3670865469242
"A_33_P3332955",-4.52803684615384,4.31396295576923,-17.453373001922,6.80621044727719e-33,4.2301216676232e-30,64.3546654523658
"A_33_P3231277",4.28247313076926,8.51749112307692,17.3973161888011,8.76458641109689e-33,5.34999745161652e-30,64.1044487310241
"A_23_P304682",-2.45610769230766,12.3653727403846,-17.3706469599509,9.88649531799041e-33,5.92894858692748e-30,63.9852635224189
"A_23_P365614",-2.33770780769228,11.5833970096154,-17.358267824052,1.04553123059862e-32,6.16196449233664e-30,63.929909485819
"A_23_P251421",3.71819938653849,7.98947749519231,17.3319433839391,1.17768204277828e-32,6.82317038445594e-30,63.8121318538314
"A_24_P940086",-2.68165751153846,3.88841669615385,-17.2424427352086,1.76627521684436e-32,1.00627642895651e-29,63.411024022713
"A_33_P3258472",-2.96677768653845,5.97471503557692,-17.2121999219687,2.02600182496057e-32,1.13532492430536e-29,63.275251590807
"A_23_P81280",-3.89122534307692,4.25692068230769,-17.1949347662573,2.19117241878124e-32,1.18261714715124e-29,63.1976878474504
