"ProbeID","GeneSymbol","ModuleColor","kME"
"A_23_P27332","TCF4","turquoise",1
"A_23_P329798","CER1","turquoise",1
"A_33_P3306948","A_33_P3306948","turquoise",1
"A_24_P12401","VEGFA","turquoise",1
"A_23_P411157","WNT1","turquoise",1
"A_33_P3382588","A_33_P3382588","turquoise",1
"A_23_P64617","FZD4","turquoise",1
"A_23_P206359","CDH1","turquoise",1
"A_24_P666105","A_24_P666105","turquoise",1
"A_23_P423237","SGCG","turquoise",1
"A_23_P134454","CAV1","turquoise",1
"A_23_P130194","PYCR1","turquoise",1
"A_24_P291588","DVL3","turquoise",1
"A_32_P12580","SMAD2","turquoise",1
"A_24_P911607","WNT7B","turquoise",1
"A_23_P59138","POU5F1","turquoise",1
"A_23_P69497","CLEC3B","turquoise",1
"A_23_P214144","COL10A1","blue",1
"A_24_P13041","RTKN2","turquoise",1
"A_23_P46819","BTRC","turquoise",1
"A_33_P3248903","A_33_P3248903","turquoise",1
"A_33_P3363425","A_33_P3363425","turquoise",1
"A_23_P91334","HSPA12B","turquoise",1
"A_24_P10137","RGCC","turquoise",1
"A_23_P131089","KANK3","turquoise",1
"A_23_P48988","SH3GL3","turquoise",1
"A_33_P3283601","A_33_P3283601","turquoise",1
"A_24_P56388","HIF1A","blue",1
"A_23_P251342","GSK3B","turquoise",1
"A_33_P3616021","A_33_P3616021","turquoise",1
"A_24_P53778","ITLN2","turquoise",1
"A_33_P3400171","A_33_P3400171","turquoise",1
"A_23_P374695","TEK","turquoise",1
"A_33_P3219527","A_33_P3219527","turquoise",1
"A_24_P943301","A_24_P943301","turquoise",1
"A_33_P3309471","A_33_P3309471","turquoise",1
"A_33_P3214948","A_33_P3214948","turquoise",1
"A_23_P93360","AGER","turquoise",1
"A_23_P4096","CA4","turquoise",1
"A_32_P213881","C20orf202","turquoise",1
"A_23_P333683","IGSF10","turquoise",1
"A_23_P23783","MYOC","turquoise",1
"A_23_P330561","MCEMP1","turquoise",1
"A_33_P3252785","A_33_P3252785","turquoise",1
"A_23_P119353","RASIP1","turquoise",1
"A_23_P311895","CLIC5","turquoise",1
"A_33_P3376806","A_33_P3376806","turquoise",1
"A_33_P3396010","A_33_P3396010","turquoise",1
"A_33_P3812669","A_33_P3812669","turquoise",1
"A_24_P144601","POU5F1","turquoise",1
"A_23_P210210","EPAS1","turquoise",1
"A_33_P3254136","A_33_P3254136","turquoise",1
"A_23_P84860","FAM107A","turquoise",1
"A_24_P403150","LINC02880","turquoise",1
"A_33_P3332955","A_33_P3332955","turquoise",1
"A_33_P3231277","A_33_P3231277","blue",1
"A_23_P304682","A_23_P304682","turquoise",1
"A_23_P365614","NOTCH4","turquoise",1
"A_23_P251421","CDCA7","turquoise",1
"A_24_P940086","NXPH3","turquoise",1
"A_33_P3258472","A_33_P3258472","turquoise",1
"A_23_P81280","BTNL9","turquoise",1
"A_23_P387630","STARD8","turquoise",1
"A_33_P3480395","A_33_P3480395","turquoise",1
"A_23_P166616","AGTR1","turquoise",1
"A_23_P138352","WNT2B","turquoise",1
"A_33_P3423874","A_33_P3423874","turquoise",1
"A_23_P301521","A_23_P301521","turquoise",1
"A_32_P167239","AFAP1L1","turquoise",1
"A_23_P111701","GNG11","turquoise",1
"A_33_P3424132","A_33_P3424132","turquoise",1
"A_33_P3293918","A_33_P3293918","turquoise",1
"A_23_P31376","LRRN3","turquoise",1
"A_23_P164436","ASPA","turquoise",1
"A_33_P3364180","A_33_P3364180","turquoise",1
"A_32_P141238","ANO2","turquoise",1
"A_33_P3243023","A_33_P3243023","turquoise",1
"A_23_P72651","ECSCR","turquoise",1
"A_33_P3261937","A_33_P3261937","turquoise",1
"A_23_P22444","CFP","turquoise",1
"A_33_P3396008","A_33_P3396008","turquoise",1
"A_23_P360079","NCKAP5","turquoise",1
"A_23_P142574","MOGAT1","turquoise",1
"A_23_P53390","PTPRB","turquoise",1
"A_24_P104407","SYNM","turquoise",1
"A_23_P42802","PDIA4","turquoise",1
"A_33_P3274562","A_33_P3274562","turquoise",1
"A_23_P101992","MARCO","turquoise",1
"A_33_P3295333","A_33_P3295333","turquoise",1
"A_23_P114862","ANGPTL7","turquoise",1
"A_33_P3300837","A_33_P3300837","turquoise",1
"A_33_P3229171","A_33_P3229171","turquoise",1
"A_33_P3381671","A_33_P3381671","turquoise",1
"A_23_P121545","GPM6A","turquoise",1
"A_23_P106682","EMP2","turquoise",1
"A_23_P72697","GPIHBP1","turquoise",1
"A_33_P3363420","A_33_P3363420","turquoise",1
"A_33_P3347707","A_33_P3347707","turquoise",1
"A_23_P63371","TAL1","turquoise",1
"A_33_P3610138","A_33_P3610138","turquoise",1
"A_23_P166779","LINC00312","turquoise",1
"A_23_P166566","EFCC1","turquoise",1
"A_33_P3378514","A_33_P3378514","turquoise",1
"A_23_P303072","GRIA1","turquoise",1
"A_33_P3260605","A_33_P3260605","turquoise",1
"A_23_P126584","CD5L","turquoise",1
"A_23_P6909","ACKR4","turquoise",1
"A_33_P3397233","A_33_P3397233","turquoise",1
"A_32_P182812","SLC6A4","turquoise",1
"A_33_P3413905","A_33_P3413905","turquoise",1
"A_33_P3395688","A_33_P3395688","turquoise",1
"A_23_P44363","CASKIN2","turquoise",1
"A_33_P3226212","A_33_P3226212","turquoise",1
"A_23_P303833","SCN4B","turquoise",1
"A_23_P145054","FAM162B","turquoise",1
"A_24_P251599","CAV3","turquoise",1
"A_23_P85441","IGSF9","turquoise",1
"A_23_P382065","EMCN","turquoise",1
"A_23_P7313","SPP1","turquoise",1
"A_24_P109652","PEAK1","turquoise",1
"A_23_P105562","VWF","turquoise",1
"A_23_P205713","STXBP6","turquoise",1
"A_23_P416774","CLIC5","turquoise",1
"A_32_P166693","A_32_P166693","turquoise",1
"A_33_P3849275","A_33_P3849275","turquoise",1
"A_24_P187774","SVEP1","turquoise",1
"A_23_P208870","A_23_P208870","blue",1
"A_23_P426305","AOC3","turquoise",1
"A_33_P3242503","A_33_P3242503","turquoise",1
"A_23_P127891","BDNF","turquoise",1
"A_24_P925040","CAV2","turquoise",1
"A_24_P12626","CAV1","turquoise",1
"A_23_P129144","MYZAP","turquoise",1
"A_23_P30294","CDO1","turquoise",1
"A_33_P3369760","A_33_P3369760","turquoise",1
"A_23_P355517","SYNPO2L","turquoise",1
"A_23_P120504","TMEM74B","turquoise",1
"A_23_P154522","MTA3","turquoise",1
"A_33_P3610406","A_33_P3610406","turquoise",1
"A_32_P189592","USHBP1","turquoise",1
"A_23_P252471","PECAM1","turquoise",1
"A_23_P144384","GALNT7","turquoise",1
"A_32_P310335","JAM2","turquoise",1
"A_33_P3251901","A_33_P3251901","blue",1
"A_23_P99253","LIN7A","turquoise",1
"A_24_P194881","A_24_P194881","turquoise",1
"A_24_P90216","LGR4","turquoise",1
"A_23_P132763","VGLL3","turquoise",1
"A_33_P3312466","A_33_P3312466","turquoise",1
"A_33_P3210561","A_33_P3210561","turquoise",1
"A_23_P10121","SFRP1","turquoise",1
"A_23_P119835","NLRC4","turquoise",1
"A_23_P118254","FOXF1","turquoise",1
"A_23_P26557","TEDC2","turquoise",1
"A_32_P43349","LETR1","turquoise",1
"A_24_P366607","SERTM1","turquoise",1
"A_23_P166823","TNNC1","turquoise",1
"A_32_P13151","A_32_P13151","turquoise",1
"A_32_P101917","A_32_P101917","turquoise",1
"A_23_P6818","SEMA3G","turquoise",1
"A_33_P3347343","A_33_P3347343","turquoise",1
"A_23_P253896","NPNT","turquoise",1
"A_24_P945113","ACVRL1","turquoise",1
"A_23_P351148","SH2D1B","turquoise",1
"A_23_P169097","CCN4","turquoise",1
"A_23_P45185","VEGFD","turquoise",1
"A_23_P26037","FRMD5","turquoise",1
"A_24_P726336","A_24_P726336","turquoise",1
"A_24_P38276","FZD1","turquoise",1
"A_33_P3381647","A_33_P3381647","turquoise",1
"A_23_P209700","NMUR1","turquoise",1
"A_33_P3354374","A_33_P3354374","turquoise",1
"A_23_P111860","RADIL","turquoise",1
"A_33_P3284838","A_33_P3284838","turquoise",1
"A_33_P3344911","A_33_P3344911","turquoise",1
"A_24_P245838","MGAT3","turquoise",1
